fuente,tabla,registros,fecha_inicio,fecha_fin,duracion_segundos,estado,error_msg
RAWG,core_rawg,6000,2025-05-31 15:06:24+02:00,2025-05-31 15:06:29+02:00,5.0,Éxito,
GiantBomb,core_giantbomb,12200,2025-05-31 15:06:29+02:00,2025-05-31 15:06:37+02:00,8.0,Éxito,
ShowdownPokedex,pokemon_pokedex,0,2025-05-31 15:06:37+02:00,2025-05-31 15:06:37+02:00,0.0,Error SQL,A column with name 'num' is already present in table 'core_pokemon_pokedex'.
ShowdownLadder,core_pokemon_ladder,500,2025-05-31 15:06:37+02:00,2025-05-31 15:06:38+02:00,1.0,Éxito,
ShowdownMoves,pokemon_moves,0,2025-05-31 15:06:38+02:00,2025-05-31 15:06:38+02:00,0.0,Error SQL,"(pymysql.err.OperationalError) (1054, ""Unknown column 'num' in 'field list'"")"
RAWG,rawg_games,0,2025-05-31 15:10:49+02:00,2025-05-31 15:10:50+02:00,1.0,Error SQL,"(pymysql.err.OperationalError) (1054, ""Unknown column 'id_rawg' in 'field list'"")"
GiantBomb,giantbomb_games,0,2025-05-31 15:10:50+02:00,2025-05-31 15:10:51+02:00,1.0,Error SQL,"(pymysql.err.OperationalError) (1054, ""Unknown column 'id_gb' in 'field list'"")"
ShowdownPokedex,pokemon_pokedex,0,2025-05-31 15:10:51+02:00,2025-05-31 15:10:51+02:00,0.0,Error SQL,A column with name 'num' is already present in table 'core_pokemon_pokedex'.
ShowdownLadder,pokemon_ladder,0,2025-05-31 15:10:51+02:00,2025-05-31 15:10:51+02:00,0.0,Error SQL,"(pymysql.err.OperationalError) (1054, ""Unknown column 'userid' in 'field list'"")"
ShowdownMoves,pokemon_moves,0,2025-05-31 15:10:51+02:00,2025-05-31 15:10:52+02:00,1.0,Error SQL,"(pymysql.err.OperationalError) (3140, 'Invalid JSON text: ""Invalid value."" at position 0 in value for column \'core_pokemon_moves.boosts\'.')"
