log_time,fuente,hora_inicio,hora_fin,registros,archivo,duracion_segundos,resultado,error,mensaje
2025-05-31 13:44:04+02:00,RAWG,11:43:49,11:44:04,400,rawg_games.parquet,15.54,Éxito,,2025-05-31 11:44:04 - INFO - 🔍 Fuente: RAWG | 🕒 Inicio: 11:43:49 | 🕕 Fin: 11:44:04 | 📊 Registros: 400 | 📁 Archivo: rawg_games.parquet | ⏱ Tiempo total: 15.54 s | 📌 Resultado: Éxito
2025-05-31 13:44:43+02:00,Giant Bomb,11:44:04,11:44:43,300,giantbomb_games.parquet,38.67,Éxito,,2025-05-31 11:44:43 - INFO - 🔍 Fuente: Giant Bomb | 🕒 Inicio: 11:44:04 | 🕕 Fin: 11:44:43 | 📊 Registros: 300 | 📁 Archivo: giantbomb_games.parquet | ⏱ Tiempo total: 38.67 s | 📌 Resultado: Éxito
2025-05-31 13:44:43+02:00,Pokémon Showdown - Pokedex,11:44:43,11:44:43,1425,pokemon_pokedex.parquet,0.3,Éxito,,2025-05-31 11:44:43 - INFO - 🔍 Fuente: Pokémon Showdown - Pokedex | 🕒 Inicio: 11:44:43 | 🕕 Fin: 11:44:43 | 📊 Registros: 1425 | 📁 Archivo: pokemon_pokedex.parquet | ⏱ Tiempo total: 0.3 s | 📌 Resultado: Éxito
2025-05-31 13:44:43+02:00,Pokémon Showdown - Ladder,11:44:43,11:44:43,500,pokemon_ladder.parquet,0.19,Éxito,,2025-05-31 11:44:43 - INFO - 🔍 Fuente: Pokémon Showdown - Ladder | 🕒 Inicio: 11:44:43 | 🕕 Fin: 11:44:43 | 📊 Registros: 500 | 📁 Archivo: pokemon_ladder.parquet | ⏱ Tiempo total: 0.19 s | 📌 Resultado: Éxito
2025-05-31 13:44:44+02:00,Pokémon Showdown - Moves,11:44:43,11:44:44,952,pokemon_moves.parquet,0.44,Éxito,,2025-05-31 11:44:44 - INFO - 🔍 Fuente: Pokémon Showdown - Moves | 🕒 Inicio: 11:44:43 | 🕕 Fin: 11:44:44 | 📊 Registros: 952 | 📁 Archivo: pokemon_moves.parquet | ⏱ Tiempo total: 0.44 s | 📌 Resultado: Éxito
2025-05-31 13:46:00+02:00,RAWG,11:45:24,11:46:00,800,rawg_games.parquet,35.93,Éxito,,2025-05-31 11:46:00 - INFO - 🔍 Fuente: RAWG | 🕒 Inicio: 11:45:24 | 🕕 Fin: 11:46:00 | 📊 Registros: 800 | 📁 Archivo: rawg_games.parquet | ⏱ Tiempo total: 35.93 s | 📌 Resultado: Éxito
2025-05-31 13:46:47+02:00,Giant Bomb,11:46:00,11:46:47,700,giantbomb_games.parquet,46.13,Éxito,,2025-05-31 11:46:47 - INFO - 🔍 Fuente: Giant Bomb | 🕒 Inicio: 11:46:00 | 🕕 Fin: 11:46:47 | 📊 Registros: 700 | 📁 Archivo: giantbomb_games.parquet | ⏱ Tiempo total: 46.13 s | 📌 Resultado: Éxito
2025-05-31 13:46:47+02:00,Pokémon Showdown - Pokedex,11:46:47,11:46:47,1425,pokemon_pokedex.parquet,0.3,Éxito,,2025-05-31 11:46:47 - INFO - 🔍 Fuente: Pokémon Showdown - Pokedex | 🕒 Inicio: 11:46:47 | 🕕 Fin: 11:46:47 | 📊 Registros: 1425 | 📁 Archivo: pokemon_pokedex.parquet | ⏱ Tiempo total: 0.3 s | 📌 Resultado: Éxito
2025-05-31 13:46:47+02:00,Pokémon Showdown - Ladder,11:46:47,11:46:47,500,pokemon_ladder.parquet,0.17,Éxito,,2025-05-31 11:46:47 - INFO - 🔍 Fuente: Pokémon Showdown - Ladder | 🕒 Inicio: 11:46:47 | 🕕 Fin: 11:46:47 | 📊 Registros: 500 | 📁 Archivo: pokemon_ladder.parquet | ⏱ Tiempo total: 0.17 s | 📌 Resultado: Éxito
2025-05-31 13:46:47+02:00,Pokémon Showdown - Moves,11:46:47,11:46:47,952,pokemon_moves.parquet,0.33,Éxito,,2025-05-31 11:46:47 - INFO - 🔍 Fuente: Pokémon Showdown - Moves | 🕒 Inicio: 11:46:47 | 🕕 Fin: 11:46:47 | 📊 Registros: 952 | 📁 Archivo: pokemon_moves.parquet | ⏱ Tiempo total: 0.33 s | 📌 Resultado: Éxito
